,dateRep,day,month,year,cases,total,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
6863,12/31/2019,31,12,2019,0,0,0,Italy,IT,ITA,60431283,Europe
6862,01/01/2020,1,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6861,01/02/2020,2,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6860,01/03/2020,3,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6859,01/04/2020,4,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6858,01/05/2020,5,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6857,01/06/2020,6,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6856,01/07/2020,7,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6855,01/08/2020,8,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6854,01/09/2020,9,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6853,01/10/2020,10,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6852,01/11/2020,11,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6851,01/12/2020,12,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6850,01/13/2020,13,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6849,01/14/2020,14,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6848,01/15/2020,15,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6847,01/16/2020,16,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6846,01/17/2020,17,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6845,01/18/2020,18,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6844,01/19/2020,19,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6843,01/20/2020,20,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6842,01/21/2020,21,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6841,01/22/2020,22,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6840,01/23/2020,23,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6839,01/24/2020,24,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6838,01/25/2020,25,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6837,01/26/2020,26,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6836,01/27/2020,27,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6835,01/28/2020,28,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6834,01/29/2020,29,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6833,01/30/2020,30,1,2020,0,0,0,Italy,IT,ITA,60431283,Europe
6832,01/31/2020,31,1,2020,3,3,0,Italy,IT,ITA,60431283,Europe
6831,02/01/2020,1,2,2020,0,3,0,Italy,IT,ITA,60431283,Europe
