,dateRep,day,month,year,cases,total,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
13629,12/31/2019,31,12,2019,0,0,0,United_States_of_America,US,USA,327167434,America
13628,01/01/2020,1,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13627,01/02/2020,2,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13626,01/03/2020,3,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13625,01/04/2020,4,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13624,01/05/2020,5,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13623,01/06/2020,6,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13622,01/07/2020,7,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13621,01/08/2020,8,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13620,01/09/2020,9,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13619,01/10/2020,10,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13618,01/11/2020,11,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13617,01/12/2020,12,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13616,01/13/2020,13,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13615,01/14/2020,14,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13614,01/15/2020,15,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13613,01/16/2020,16,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13612,01/17/2020,17,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13611,01/18/2020,18,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13610,01/19/2020,19,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13609,01/20/2020,20,1,2020,0,0,0,United_States_of_America,US,USA,327167434,America
13608,01/21/2020,21,1,2020,1,1,0,United_States_of_America,US,USA,327167434,America
13607,01/22/2020,22,1,2020,0,1,0,United_States_of_America,US,USA,327167434,America
13606,01/23/2020,23,1,2020,0,1,0,United_States_of_America,US,USA,327167434,America
13605,01/24/2020,24,1,2020,0,1,0,United_States_of_America,US,USA,327167434,America
13604,01/25/2020,25,1,2020,1,2,0,United_States_of_America,US,USA,327167434,America
13603,01/26/2020,26,1,2020,0,2,0,United_States_of_America,US,USA,327167434,America
13602,01/27/2020,27,1,2020,3,5,0,United_States_of_America,US,USA,327167434,America
13601,01/28/2020,28,1,2020,0,5,0,United_States_of_America,US,USA,327167434,America
13600,01/29/2020,29,1,2020,0,5,0,United_States_of_America,US,USA,327167434,America
13599,01/30/2020,30,1,2020,0,5,0,United_States_of_America,US,USA,327167434,America
13598,01/31/2020,31,1,2020,1,6,0,United_States_of_America,US,USA,327167434,America
13597,02/01/2020,1,2,2020,1,7,0,United_States_of_America,US,USA,327167434,America
13596,02/02/2020,2,2,2020,1,8,0,United_States_of_America,US,USA,327167434,America
13595,02/03/2020,3,2,2020,3,11,0,United_States_of_America,US,USA,327167434,America
13594,02/04/2020,4,2,2020,0,11,0,United_States_of_America,US,USA,327167434,America
13593,02/05/2020,5,2,2020,0,11,0,United_States_of_America,US,USA,327167434,America
13592,02/06/2020,6,2,2020,1,12,0,United_States_of_America,US,USA,327167434,America
13591,02/07/2020,7,2,2020,0,12,0,United_States_of_America,US,USA,327167434,America
13590,02/08/2020,8,2,2020,0,12,0,United_States_of_America,US,USA,327167434,America
13589,02/09/2020,9,2,2020,0,12,0,United_States_of_America,US,USA,327167434,America
13588,02/10/2020,10,2,2020,0,12,0,United_States_of_America,US,USA,327167434,America
13587,02/11/2020,11,2,2020,1,13,0,United_States_of_America,US,USA,327167434,America
13586,02/12/2020,12,2,2020,0,13,0,United_States_of_America,US,USA,327167434,America
13585,02/13/2020,13,2,2020,1,14,0,United_States_of_America,US,USA,327167434,America
13584,02/14/2020,14,2,2020,1,15,0,United_States_of_America,US,USA,327167434,America
13583,02/15/2020,15,2,2020,0,15,0,United_States_of_America,US,USA,327167434,America
13582,02/16/2020,16,2,2020,0,15,0,United_States_of_America,US,USA,327167434,America
13581,02/17/2020,17,2,2020,0,15,0,United_States_of_America,US,USA,327167434,America
13580,02/18/2020,18,2,2020,0,15,0,United_States_of_America,US,USA,327167434,America
13579,02/19/2020,19,2,2020,0,15,0,United_States_of_America,US,USA,327167434,America
13578,02/20/2020,20,2,2020,0,15,0,United_States_of_America,US,USA,327167434,America
13577,02/21/2020,21,2,2020,1,16,0,United_States_of_America,US,USA,327167434,America
13576,02/22/2020,22,2,2020,19,35,0,United_States_of_America,US,USA,327167434,America
13575,02/23/2020,23,2,2020,0,35,0,United_States_of_America,US,USA,327167434,America
13574,02/24/2020,24,2,2020,0,35,0,United_States_of_America,US,USA,327167434,America
13573,02/25/2020,25,2,2020,18,53,0,United_States_of_America,US,USA,327167434,America
13572,02/26/2020,26,2,2020,0,53,0,United_States_of_America,US,USA,327167434,America
13571,02/27/2020,27,2,2020,6,59,0,United_States_of_America,US,USA,327167434,America
13570,02/28/2020,28,2,2020,1,60,0,United_States_of_America,US,USA,327167434,America
13569,02/29/2020,29,2,2020,6,66,0,United_States_of_America,US,USA,327167434,America
13568,03/01/2020,1,3,2020,3,69,1,United_States_of_America,US,USA,327167434,America
13567,03/02/2020,2,3,2020,20,89,1,United_States_of_America,US,USA,327167434,America
13566,03/03/2020,3,3,2020,14,103,4,United_States_of_America,US,USA,327167434,America
13565,03/04/2020,4,3,2020,22,125,3,United_States_of_America,US,USA,327167434,America
13564,03/05/2020,5,3,2020,34,159,2,United_States_of_America,US,USA,327167434,America
13563,03/06/2020,6,3,2020,74,233,1,United_States_of_America,US,USA,327167434,America
13562,03/07/2020,7,3,2020,105,338,2,United_States_of_America,US,USA,327167434,America
13561,03/08/2020,8,3,2020,95,433,3,United_States_of_America,US,USA,327167434,America
13560,03/09/2020,9,3,2020,121,554,4,United_States_of_America,US,USA,327167434,America
13559,03/10/2020,10,3,2020,200,754,5,United_States_of_America,US,USA,327167434,America
13558,03/11/2020,11,3,2020,271,1025,2,United_States_of_America,US,USA,327167434,America
13557,03/12/2020,12,3,2020,287,1312,2,United_States_of_America,US,USA,327167434,America
13556,03/13/2020,13,3,2020,351,1663,10,United_States_of_America,US,USA,327167434,America
13555,03/14/2020,14,3,2020,511,2174,7,United_States_of_America,US,USA,327167434,America
13554,03/15/2020,15,3,2020,777,2951,10,United_States_of_America,US,USA,327167434,America
13553,03/16/2020,16,3,2020,823,3774,12,United_States_of_America,US,USA,327167434,America
13552,03/17/2020,17,3,2020,887,4661,16,United_States_of_America,US,USA,327167434,America
13551,03/18/2020,18,3,2020,1766,6427,23,United_States_of_America,US,USA,327167434,America
13550,03/19/2020,19,3,2020,2988,9415,42,United_States_of_America,US,USA,327167434,America
13549,03/20/2020,20,3,2020,4835,14250,0,United_States_of_America,US,USA,327167434,America
13548,03/21/2020,21,3,2020,5374,19624,110,United_States_of_America,US,USA,327167434,America
13547,03/22/2020,22,3,2020,7123,26747,80,United_States_of_America,US,USA,327167434,America
13546,03/23/2020,23,3,2020,8459,35206,131,United_States_of_America,US,USA,327167434,America
13545,03/24/2020,24,3,2020,11236,46442,119,United_States_of_America,US,USA,327167434,America
13544,03/25/2020,25,3,2020,8789,55231,211,United_States_of_America,US,USA,327167434,America
13543,03/26/2020,26,3,2020,13963,69194,249,United_States_of_America,US,USA,327167434,America
13542,03/27/2020,27,3,2020,16797,85991,246,United_States_of_America,US,USA,327167434,America
13541,03/28/2020,28,3,2020,18695,104686,411,United_States_of_America,US,USA,327167434,America
13540,03/29/2020,29,3,2020,19979,124665,484,United_States_of_America,US,USA,327167434,America
13539,03/30/2020,30,3,2020,18360,143025,318,United_States_of_America,US,USA,327167434,America
13538,03/31/2020,31,3,2020,21595,164620,661,United_States_of_America,US,USA,327167434,America
13537,04/01/2020,1,4,2020,24998,189618,909,United_States_of_America,US,USA,327167434,America
13536,04/02/2020,2,4,2020,27103,216721,1059,United_States_of_America,US,USA,327167434,America
13535,04/03/2020,3,4,2020,28819,245540,915,United_States_of_America,US,USA,327167434,America
13534,04/04/2020,4,4,2020,32425,277965,1104,United_States_of_America,US,USA,327167434,America
