,dateRep,day,month,year,cases,total,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2018,continentExp
13924,12/31/2019,31,12,2019,0,0,0,Vietnam,VN,VNM,95540395,Asia
13923,01/01/2020,1,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13922,01/02/2020,2,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13921,01/03/2020,3,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13920,01/04/2020,4,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13919,01/05/2020,5,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13918,01/06/2020,6,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13917,01/07/2020,7,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13916,01/08/2020,8,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13915,01/09/2020,9,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13914,01/10/2020,10,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13913,01/11/2020,11,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13912,01/12/2020,12,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13911,01/13/2020,13,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13910,01/14/2020,14,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13909,01/15/2020,15,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13908,01/16/2020,16,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13907,01/17/2020,17,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13906,01/18/2020,18,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13905,01/19/2020,19,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13904,01/20/2020,20,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
13903,01/21/2020,21,1,2020,0,0,0,Vietnam,VN,VNM,95540395,Asia
